"",股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
3,300092,科新机电,20.01,19.61,19.61,16.64,16.65,3.27,45.27,3.29,51.46,949993,1745805218.74,16.34,5371635344,4115477280,0.300092,深A,2025-09-03 15:35:00,2025-09-03
172,002115,三维通信,4.09,11.45,11.96,10.6,11.17,0.45,43.17,1.21,1774.25,3247275,3714781811.85,11.0,9285850751,8612638841,0.002115,深A,2025-09-03 15:34:30,2025-09-03
1850,838670,恒进感应,-1.41,24.44,28.99,24.44,26.88,-0.35,37.28,3.65,214.41,246050,656414099.94,24.79,3274960000,1613110876,0.838670,深A,2025-09-03 15:38:44,2025-09-03
19,300331,苏大维格,11.0,31.98,34.57,28.14,29.0,3.17,35.81,1.79,135.41,752695,2359005497.94,28.81,8303999906,6722706721,0.300331,深A,2025-09-03 15:34:24,2025-09-03
5409,831906,舜宇精工,-12.78,34.89,41.3,34.89,40.07,-5.11,35.14,1.02,35.86,116611,431715824.89,40.0,2266803300,1157762650,0.831906,深A,2025-09-03 15:38:44,2025-09-03
1991,603014,威高血净,-1.55,42.0,44.58,41.8,42.67,-0.66,34.24,1.86,39.23,130508,559031921.0,42.66,17278550772,1600728654,1.603014,沪A,2025-09-03 16:11:37,2025-09-03
4316,300139,晓程科技,-3.46,22.05,23.95,21.83,23.88,-0.79,33.97,1.3,71.16,793822,1812037266.76,22.84,6041700000,5152185911,0.300139,深A,2025-09-03 15:34:15,2025-09-03
67,301658,首航新能,7.36,35.9,36.74,33.32,33.32,2.46,33.15,2.88,81.14,128393,450467954.39,33.44,14804123747,1390335523,0.301658,深A,2025-09-03 15:34:15,2025-09-03
5313,873223,荣亿精密,-7.45,26.2,31.0,26.06,28.32,-2.11,32.76,1.07,-394.43,267287,770699229.81,28.31,4120867000,2137494250,0.873223,深A,2025-09-03 15:38:44,2025-09-03
4506,002248,华东数控,-3.71,10.89,11.85,10.8,11.31,-0.42,32.17,3.79,123.24,989214,1123682906.95,11.31,3348627084,3348627084,0.002248,深A,2025-09-03 15:34:15,2025-09-03
